RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,Position
543,Charlie Brown Jr.,PHI,22,8.10,-5.02,-2.24,-7.25,-0.35, G
544,Leandro Bolmaro,MIN,35,6.90,-3.91,-3.40,-7.31,-0.57, SG
545,Wes Iwundu,ATL,3,27.30,-3.21,-4.18,-7.39,-0.17, F
546,Justin Robinson,DET,25,12.20,-2.67,-4.77,-7.45,-0.70, F
547,Javonte Smart,MIL,17,11.80,-3.96,-3.56,-7.51,-0.44, G
548,Devin Cannady,ORL,5,29.00,-3.94,-3.59,-7.53,-0.22, G
549,Zavier Simpson,OKC,4,43.50,-3.16,-4.41,-7.57,-0.28, G
550,Sharife Cooper,ATL,13,3.00,-3.29,-4.71,-8.00,-0.09, PG
551,Jemerrio Jones,LAL,2,7.50,-3.04,-5.01,-8.04,-0.03, F
552,Solomon Hill,ATL,13,10.70,-5.54,-2.59,-8.13,-0.40, SF
553,Jay Huff,LAL,4,5.00,-3.97,-4.23,-8.20,-0.04, C
554,Marcus Garrett,MIA,12,10.70,-5.36,-2.86,-8.22,-0.37, SG
555,Chris Chiozza,GSW,34,10.90,-4.03,-4.43,-8.46,-1.19, G
556,Tim Frazier,CLE,12,17.30,-3.78,-5.03,-8.81,-0.73, PG
557,Dakota Mathias,MEM,6,2.70,-5.97,-4.72,-10.68,-0.06, G
