RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,Position
225,Sam Hauser,BOS,26,6.10,1.44,-3.14,-1.70,0.38, SF
226,John Konchar,MEM,72,17.90,-0.74,-0.97,-1.71,2.66, SG
227,De'Andre Hunter,ATL,53,29.80,-2.54,0.83,-1.71,2.76, SF
228,Chris Duarte,IND,55,28.00,-1.02,-0.73,-1.74,2.97, SG
229,Doug McDermott,SAS,51,24.00,-0.49,-1.28,-1.77,2.22, SF
230,Jalen Suggs,ORL,48,27.20,-1.55,-0.28,-1.82,2.32, SG
231,Drew Eubanks,POR,71,17.50,-1.14,-0.69,-1.83,2.40, PF
232,JaMychal Green,DEN,67,16.20,-0.01,-1.85,-1.86,2.13, F
233,Jared Butler,UTA,42,8.60,1.55,-3.41,-1.86,0.73, SG
234,Cedi Osman,CLE,66,22.20,2.24,-4.09,-1.86,3.00, SF
235,Malcolm Hill,CHI,19,11.20,1.09,-2.97,-1.88,0.43, F
236,Omer Yurtseven,MIA,56,12.60,-1.24,-0.66,-1.90,1.23, C
237,Justin Anderson,IND,16,19.80,0.87,-2.77,-1.91,0.64, F
238,Richaun Holmes,SAC,45,23.90,-1.37,-0.59,-1.95,1.89, C
239,Devontae Cacok,SAS,15,8.10,-1.31,-0.66,-1.97,0.21, PF
240,Thomas Bryant,WSH,27,16.30,0.20,-2.19,-1.99,0.84, C
241,Markus Howard,DEN,31,5.70,1.27,-3.27,-2.00,0.30, PG
242,Cameron Payne,PHX,58,22.00,1.01,-3.03,-2.02,2.50, PG
243,Jock Landale,SAS,54,10.90,1.78,-3.80,-2.02,1.24, C
244,Naji Marshall,NOP,55,13.40,0.26,-2.34,-2.07,1.39, SF
245,Pat Connaughton,MIL,65,26.00,1.77,-3.85,-2.08,3.36, SG
246,Jaylen Nowell,MIN,62,15.70,2.11,-4.23,-2.12,1.85, SG
247,Nickeil Alexander-Walker,UTA,65,22.60,0.21,-2.36,-2.14,2.59, SG
248,Brandon Knight,DAL,5,13.00,1.84,-4.00,-2.16,0.12, PG
249,Malik Beasley,MIN,79,25.00,1.44,-3.61,-2.17,3.53, SG
250,Justise Winslow,POR,48,16.10,-1.26,-0.92,-2.18,1.33, PF
251,Usman Garuba,HOU,24,10.00,-1.10,-1.12,-2.22,0.41, PF
252,Austin Reaves,LAL,61,23.20,0.20,-2.46,-2.25,2.38, SG
253,Damian Jones,SAC,56,18.20,0.26,-2.52,-2.26,1.74, C
254,LaMarcus Aldridge,BKN,47,22.30,-0.12,-2.14,-2.26,1.77, C
255,Wayne Ellington,LAL,43,18.80,0.76,-3.04,-2.28,1.39, SG
256,Delon Wright,ATL,77,18.90,-1.67,-0.62,-2.29,2.39, SG
257,Danny Green,PHI,62,21.80,-2.13,-0.17,-2.30,2.05, SF
258,Day'Ron Sharpe,BKN,32,12.20,0.28,-2.61,-2.32,0.57, C
259,Dennis Schroder,HOU,64,28.70,-0.31,-2.02,-2.33,2.84, PG
260,Nathan Knight,MIN,37,7.20,0.30,-2.63,-2.33,0.43, F
261,Quentin Grimes,NYK,46,17.10,-0.19,-2.17,-2.36,1.21, SG
262,Willy Hernangomez,NOP,50,16.80,0.83,-3.20,-2.36,1.47, C
263,Gary Harris,ORL,61,28.40,-1.29,-1.08,-2.37,2.63, SG
264,Kenrich Williams,OKC,49,21.90,-0.37,-2.01,-2.38,1.80, SF
265,Serge Ibaka,MIL,54,16.30,-0.46,-1.93,-2.39,1.46, F
266,Davis Bertans,DAL,56,14.40,0.70,-3.09,-2.39,1.33, SF
267,Payton Pritchard,BOS,71,14.10,1.18,-3.60,-2.42,1.65, PG
268,Landry Shamet,PHX,69,20.80,-0.48,-1.94,-2.42,2.19, SG
269,Jordan McLaughlin,MIN,62,14.50,0.02,-2.47,-2.45,1.49, PG
270,Aaron Nesmith,BOS,52,11.00,-0.06,-2.40,-2.46,0.88, SF
271,Jeremy Lamb,SAC,56,16.70,0.48,-2.94,-2.46,1.48, SG
272,Terry Taylor,IND,33,21.60,1.18,-3.64,-2.46,1.06, SF
273,Furkan Korkmaz,PHI,67,21.10,-0.13,-2.35,-2.47,2.03, SG
274,Thaddeus Young,TOR,52,16.30,-0.29,-2.19,-2.48,1.37, PF
275,Tre Mann,OKC,60,22.80,-1.50,-0.99,-2.49,1.95, PG
276,Dewayne Dedmon,MIA,67,15.90,-1.21,-1.29,-2.50,1.58, C
277,D.J. Wilson,TOR,4,13.50,0.02,-2.54,-2.52,0.06, F
278,Rudy Gay,UTA,55,18.90,0.59,-3.15,-2.56,1.66, SF
279,Kevin Knox II,ATL,30,7.40,1.04,-3.60,-2.56,0.33, SF
280,Moses Brown,CLE,40,8.60,-0.80,-1.78,-2.58,0.49, C
281,Santi Aldama,MEM,32,11.30,-0.01,-2.57,-2.58,0.51, PF
282,DeAndre Jordan,PHI,48,13.00,-1.99,-0.60,-2.59,0.81, C
283,Derrick Favors,OKC,39,16.70,-2.79,0.17,-2.62,0.85, F
284,Nemanja Bjelica,GSW,71,16.10,0.38,-3.02,-2.65,1.70, PF
285,Davon Reed,DEN,48,13.90,-0.68,-1.97,-2.65,0.88, SG
286,Saben Lee,DET,37,16.30,0.00,-2.66,-2.66,0.87, PG
287,Louis King,SAC,10,10.40,0.28,-2.96,-2.68,0.17, PF
288,Jarrett Culver,MEM,37,9.10,-0.81,-1.88,-2.69,0.44, G
289,Taurean Prince,MIN,69,17.10,0.68,-3.37,-2.70,1.69, PF
290,Avery Bradley,LAL,62,22.70,-3.95,1.25,-2.70,1.66, PG
291,Luka Garza,DET,32,12.20,0.81,-3.52,-2.71,0.51, C
292,Isaiah Thomas,CHA,22,15.10,1.31,-4.06,-2.75,0.46, G
293,Braxton Key,DET,11,17.90,-1.22,-1.53,-2.75,0.25, G
294,Cory Joseph,DET,65,24.60,-2.51,-0.25,-2.75,1.86, PG
295,Eric Paschall,UTA,58,12.70,0.63,-3.38,-2.75,1.00, F
296,Marquese Chriss,DAL,34,10.20,-0.68,-2.08,-2.75,0.47, SF
297,Larry Nance Jr.,NOP,46,22.60,-0.55,-2.22,-2.77,1.35, PF
298,Alex Caruso,CHI,41,28.00,-1.57,-1.21,-2.78,1.43, SG
299,Greg Monroe,UTA,14,13.90,-0.11,-2.67,-2.78,0.26, C
300,Tre Jones,SAS,69,16.60,0.14,-2.91,-2.78,1.58, PG
301,Derrick Rose,NYK,26,24.50,0.62,-3.40,-2.79,0.86, PG
302,George Hill,MIL,54,23.20,-0.75,-2.05,-2.80,1.68, PG
303,Frank Jackson,DET,53,22.00,1.27,-4.10,-2.83,1.45, PG
304,David Nwaba,HOU,46,13.20,-0.30,-2.54,-2.85,0.83, SF
305,Luke Kennard,LAC,70,27.40,-0.01,-2.84,-2.86,2.38, SG
306,Carmelo Anthony,LAL,69,26.00,1.60,-4.46,-2.87,2.33, PF
307,Michael Porter Jr.,DEN,9,29.40,-1.20,-1.69,-2.90,0.26, SF
308,Ben McLemore,POR,64,20.10,2.17,-5.08,-2.90,1.70, SG
309,Rodney McGruder,DET,51,14.80,-0.14,-2.77,-2.91,0.87, G
310,Maurice Harkless,SAC,47,18.40,-1.98,-0.95,-2.92,0.95, SF
311,Bruno Fernando,HOU,30,5.10,-0.01,-2.96,-2.97,0.20, PF
312,Killian Hayes,DET,66,25.00,-3.46,0.43,-3.03,1.56, PG
313,Stanley Johnson,LAL,48,22.80,-1.27,-1.78,-3.05,1.09, PF
314,Carsen Edwards,DET,4,19.80,0.11,-3.17,-3.06,0.07, PG
315,Aaron Holiday,PHX,63,16.20,-1.38,-1.68,-3.06,0.98, G
316,Markelle Fultz,ORL,18,20.00,0.25,-3.32,-3.06,0.35, PG
317,Dylan Windler,CLE,50,9.20,-0.68,-2.39,-3.07,0.50, SG
318,DeAndre' Bembry,MIL,56,18.30,-2.52,-0.55,-3.07,1.02, SG
319,Deni Avdija,WSH,82,24.20,-0.52,-2.56,-3.08,2.13, SF
320,Rui Hachimura,WSH,42,22.50,-0.53,-2.55,-3.08,0.95, PF
321,Juancho Hernangomez,UTA,40,11.10,-1.26,-1.84,-3.09,0.40, PF
322,Malachi Flynn,TOR,44,12.20,0.01,-3.13,-3.12,0.54, PG
323,Aaron Wiggins,OKC,50,24.20,-1.56,-1.56,-3.12,1.13, SG
324,Reggie Perry,IND,10,18.70,-0.50,-2.64,-3.14,0.16, F
325,Bismack Biyombo,PHX,36,14.10,-0.71,-2.43,-3.14,0.53, C
326,James Ennis III,DEN,7,8.00,-0.50,-2.64,-3.14,0.07, F
327,JT Thor,CHA,33,7.90,-0.68,-2.47,-3.15,0.27, PF
328,Moses Moody,GSW,52,11.70,-0.26,-2.96,-3.22,0.52, SG
329,Zach Collins,SAS,28,17.90,0.37,-3.58,-3.22,0.54, PF
330,Lonnie Walker IV,SAS,70,23.00,1.57,-4.79,-3.22,1.67, G
331,Petr Cornelie,DEN,13,2.90,-0.59,-2.63,-3.22,0.05, F
332,Ayo Dosunmu,CHI,77,27.40,-1.44,-1.79,-3.23,1.84, SG
333,Precious Achiuwa,TOR,73,23.60,-2.03,-1.21,-3.24,1.51, PF
334,Miye Oni,UTA,16,2.80,-0.43,-2.82,-3.25,0.06, SG
335,Kyle Anderson,MEM,69,21.50,-1.10,-2.16,-3.26,1.41, SF
336,Juan Toscano-Anderson,GSW,73,13.60,-0.90,-2.38,-3.28,0.88, SF
337,Oshae Brissett,IND,67,23.30,-0.65,-2.64,-3.28,1.32, SF
338,Cody Zeller,POR,27,13.10,-0.10,-3.19,-3.29,0.37, C
339,Cameron McGriff,POR,3,15.30,-0.58,-2.71,-3.29,0.05, F
340,Theo Maledon,OKC,51,17.80,-0.68,-2.62,-3.29,0.79, PG
341,Alperen Sengun,HOU,72,20.70,0.53,-3.84,-3.31,1.37, C
342,Facundo Campazzo,DEN,65,18.20,-0.24,-3.12,-3.35,1.02, G
343,Brodric Thomas,BOS,12,5.00,-0.20,-3.17,-3.37,0.06, G
344,Luke Kornet,BOS,15,6.90,-1.46,-1.97,-3.43,0.08, C
345,Damion Lee,GSW,63,20.00,-0.63,-2.82,-3.46,0.99, SG
346,Isaiah Todd,WSH,12,6.20,-0.87,-2.60,-3.47,0.05, PF
347,Raul Neto,WSH,70,19.60,-0.44,-3.04,-3.49,1.02, PG
348,Brandon Goodwin,CLE,36,13.90,-0.64,-2.85,-3.49,0.34, G
349,Zeke Nnaji,DEN,41,17.00,-0.31,-3.19,-3.50,0.48, PF
350,Wenyen Gabriel,LAL,26,13.80,-0.21,-3.31,-3.52,0.23, F
351,Coby White,CHI,61,27.50,1.05,-4.58,-3.53,1.20, PG
352,Frank Ntilikina,DAL,58,11.80,-1.08,-2.47,-3.54,0.50, PG
353,Grant Williams,BOS,77,24.40,-1.04,-2.50,-3.54,1.29, PF
354,Yuta Watanabe,TOR,38,11.70,-0.51,-3.05,-3.56,0.33, SF
355,Aleem Ford,ORL,5,14.80,-0.06,-3.51,-3.57,0.06, F
356,Keita Bates-Diop,SAS,59,16.20,-1.67,-1.90,-3.57,0.65, SF
357,Udoka Azubuike,UTA,17,11.50,-1.37,-2.21,-3.58,0.12, C
358,Cody Martin,CHA,71,26.30,-1.17,-2.44,-3.60,1.20, SF
359,Olivier Sarr,OKC,22,19.10,-0.85,-2.77,-3.62,0.26, C
360,Trey Murphy III,NOP,62,13.90,-0.15,-3.49,-3.64,0.59, SG
361,Talen Horton-Tucker,LAL,60,25.20,-0.72,-2.93,-3.65,0.95, SG
362,Trevor Ariza,LAL,24,19.30,-1.88,-1.78,-3.66,0.26, SF
363,Xavier Moon,LAC,10,13.70,-0.84,-2.83,-3.66,0.08, PG
364,Derrick Jones Jr.,CHI,51,17.60,-0.45,-3.21,-3.67,0.55, SF
365,Sekou Doumbouya,LAL,2,8.00,-1.28,-2.41,-3.68,0.01, SF
366,Jalen McDaniels,CHA,55,16.30,-0.19,-3.49,-3.68,0.55, PF
367,Lou Williams,ATL,56,14.30,-0.77,-2.95,-3.72,0.46, SG
368,Ish Wainright,PHX,45,8.00,-1.26,-2.46,-3.72,0.20, F
369,Davion Mitchell,SAC,75,27.70,-0.23,-3.51,-3.74,1.15, PG
370,Khem Birch,TOR,55,18.00,-3.28,-0.48,-3.75,0.44, C
371,Jake Layman,MIN,34,6.80,-0.90,-2.87,-3.78,0.12, F
372,T.J. McConnell,IND,27,24.10,-0.67,-3.12,-3.79,0.30, PG
373,Tremont Waters,WSH,3,16.70,-0.94,-2.85,-3.80,0.03, G
374,Theo Pinson,DAL,19,7.80,-1.23,-2.59,-3.82,0.07, G
375,Georges Niang,PHI,76,22.80,0.47,-4.30,-3.82,0.85, SF
376,Justin Jackson,PHX,7,5.10,-1.08,-2.75,-3.82,0.02, SF
377,Ed Davis,CLE,31,6.50,-2.18,-1.65,-3.83,0.10, C
378,Brandon Boston Jr.,LAC,51,14.90,-1.11,-2.72,-3.83,0.36, SG
379,Cameron Oliver,ATL,2,21.50,0.12,-3.95,-3.83,0.02, F
380,Devon Dotson,CHI,11,7.70,0.10,-3.95,-3.86,0.05, G
381,James Johnson,BKN,62,19.20,-1.60,-2.27,-3.87,0.51, PF
382,Jericho Sims,NYK,41,13.50,-1.06,-2.82,-3.88,0.25, C
383,Sandro Mamukelashvili,MIL,41,9.90,-0.67,-3.22,-3.89,0.16, PF
384,Josh Green,DAL,67,15.50,-1.32,-2.59,-3.91,0.45, SG
385,Jamorko Pickett,DET,13,13.50,-0.41,-3.52,-3.93,0.06, F
386,Nik Stauskas,BOS,8,4.90,-0.99,-2.94,-3.93,0.02, G
387,Tony Bradley,CHI,55,10.00,-2.13,-1.81,-3.94,0.23, C
388,Boban Marjanovic,DAL,23,5.60,-0.40,-3.55,-3.95,0.06, C
389,Ignas Brazdeikis,ORL,42,12.80,-0.56,-3.39,-3.95,0.19, SF
390,Josh Jackson,SAC,51,16.30,-0.62,-3.34,-3.96,0.32, SG
391,Danuel House Jr.,UTA,42,17.30,-1.20,-2.77,-3.97,0.27, SF
392,Lamar Stevens,CLE,63,16.10,-1.78,-2.19,-3.97,0.36, F
393,Paul Watson,OKC,9,17.30,-0.58,-3.40,-3.98,0.05, SG
394,Cam Reddish,NYK,49,20.70,-0.67,-3.31,-3.98,0.37, SF
395,Torrey Craig,PHX,78,20.50,-0.41,-3.57,-3.98,0.57, SF
396,Bryn Forbes,DEN,75,17.10,0.22,-4.21,-3.99,0.46, SG
397,Trey Burke,DAL,42,10.50,-0.06,-3.93,-3.99,0.15, PG
398,Hassani Gravett,ORL,8,21.40,-0.30,-3.70,-3.99,0.06, PG
399,Alex Len,SAC,39,15.90,-1.42,-2.58,-4.00,0.21, C
400,Timothe Luwawu-Cabarrot,ATL,52,13.20,-1.20,-2.80,-4.00,0.22, SG
401,Nick Richards,CHA,50,7.30,-0.91,-3.12,-4.02,0.13, C
402,Justin Champagnie,TOR,36,7.80,-0.60,-3.42,-4.02,0.11, SF
403,Kira Lewis Jr.,NOP,24,14.20,0.28,-4.31,-4.03,0.13, PG
404,Lance Stephenson,IND,46,17.70,0.85,-4.89,-4.04,0.26, G
405,Cam Thomas,BKN,67,17.60,0.02,-4.07,-4.06,0.37, SG
406,BJ Johnson,ORL,4,16.30,-0.76,-3.30,-4.06,0.02, F
407,Svi Mykhailiuk,TOR,56,12.80,-0.60,-3.47,-4.07,0.20, SG
408,Tacko Fall,CLE,11,5.40,-2.35,-1.73,-4.08,0.02, C
409,Donte DiVincenzo,SAC,42,23.90,-0.41,-3.69,-4.09,0.28, SG
410,Miles McBride,NYK,40,9.30,-1.61,-2.48,-4.09,0.10, PG
411,Garrett Temple,NOP,59,18.60,-1.72,-2.37,-4.09,0.29, SF
412,Kelan Martin,BOS,30,15.00,-0.76,-3.35,-4.11,0.12, SG
413,Jared Harper,NOP,5,8.60,-0.65,-3.46,-4.11,0.01, G
414,Brandon Williams,POR,24,26.70,0.44,-4.56,-4.13,0.14, PG
415,Trendon Watford,POR,48,18.10,-0.37,-3.76,-4.13,0.23, PF
416,Matt Thomas,CHI,40,11.50,-0.63,-3.51,-4.14,0.12, SG
417,Austin Rivers,DEN,67,22.10,-1.51,-2.66,-4.17,0.30, SG
418,Dennis Smith Jr.,POR,37,17.30,-1.27,-2.90,-4.17,0.15, PG
419,Josh Richardson,SAS,65,24.60,-0.31,-3.90,-4.21,0.30, SG
420,Josh Christopher,HOU,74,18.00,0.21,-4.42,-4.22,0.25, SG
421,Jay Scrubb,LAC,18,6.70,-0.98,-3.24,-4.22,0.02, G
422,Deividas Sirvydis,DET,3,9.00,-1.72,-2.51,-4.22,0.01, F
423,Mamadi Diakite,OKC,13,14.50,-2.36,-1.87,-4.23,0.03, F
424,Kenyon Martin Jr.,HOU,79,21.00,0.54,-4.77,-4.23,0.29, F
425,Taj Gibson,NYK,52,18.20,-2.08,-2.15,-4.23,0.15, F
426,Wesley Matthews,MIL,49,20.40,-1.06,-3.17,-4.24,0.16, SG
427,Joe Wieskamp,SAS,29,7.10,-0.57,-3.68,-4.25,0.03, SF
428,Anthony Gill,WSH,44,10.50,-0.05,-4.22,-4.27,0.07, PF
429,Chandler Hutchison,PHX,6,3.70,-1.89,-2.38,-4.27,0.00, SF
430,Sterling Brown,DAL,49,12.80,-1.75,-2.53,-4.28,0.09, SF
431,Marko Simonovic,CHI,9,3.90,-1.46,-2.83,-4.29,0.01, C
432,Paul Millsap,PHI,33,11.40,-1.20,-3.09,-4.29,0.05, PF
433,Killian Tillie,MEM,36,12.80,-2.21,-2.08,-4.30,0.05, SF
434,Nerlens Noel,NYK,25,22.50,-4.06,-0.25,-4.31,0.05, C
435,Kessler Edwards,BKN,48,20.60,-3.23,-1.09,-4.32,0.08, SF
436,Bol Bol,DEN,14,5.80,-1.53,-2.80,-4.33,0.01, C
437,Enes Freedom,BOS,35,11.70,-1.95,-2.40,-4.35,0.03, C
438,Quinndary Weatherspoon,GSW,11,6.60,-1.04,-3.32,-4.36,0.01, SG
439,Greg Brown III,POR,48,13.30,-1.58,-2.78,-4.36,0.04, PF
440,CJ Elleby,POR,58,20.20,-2.43,-1.97,-4.40,0.04, SG
441,David Duke Jr.,BKN,22,15.50,-2.07,-2.35,-4.42,0.01, SF
442,Jabari Parker,BOS,12,9.30,-1.14,-3.28,-4.42,0.00, PF
443,Jalen Johnson,ATL,22,5.50,-1.07,-3.36,-4.43,0.00, SF
444,Jordan Nwora,MIL,62,19.10,-0.74,-3.69,-4.43,0.01, SF
445,Cheick Diallo,DET,3,10.30,-1.68,-2.76,-4.44,0.00, F
446,Collin Sexton,CLE,11,28.70,0.13,-4.58,-4.45,0.00, PG
447,Kyle Guy,MIA,19,9.80,-0.06,-4.40,-4.46,0.00, SG
448,Isaac Bonga,TOR,15,4.60,-2.74,-1.75,-4.48,0.00, G
449,RJ Nembhard Jr.,CLE,14,4.50,-1.48,-3.01,-4.50,0.00, SG
450,Goran Dragic,BKN,21,23.70,-0.63,-3.89,-4.51,-0.03, PG
451,Duane Washington Jr.,IND,48,20.20,-0.02,-4.50,-4.52,-0.06, PG
452,Romeo Langford,SAS,48,16.10,-1.78,-2.75,-4.53,-0.06, SG
453,Tristan Thompson,CHI,57,15.70,-1.23,-3.31,-4.53,-0.07, C
454,Vit Krejci,OKC,30,23.00,-1.86,-2.72,-4.58,-0.07, G
455,Darren Collison,LAL,3,12.30,-1.67,-2.95,-4.62,-0.01, PG
456,Daishen Nix,HOU,24,10.90,-1.18,-3.47,-4.65,-0.05, SG
457,Isaiah Livers,DET,19,20.20,-1.34,-3.32,-4.66,-0.06, PF
458,Melvin Frazier Jr.,OKC,3,40.00,0.05,-4.73,-4.67,-0.01, G
459,Tyler Cook,CHI,20,10.00,-1.56,-3.12,-4.68,-0.04, F
460,Elijah Hughes,POR,36,12.10,-1.61,-3.08,-4.69,-0.08, F
461,Skylar Mays,ATL,28,7.90,-0.63,-4.09,-4.72,-0.04, SG
462,Craig Sword,WSH,3,6.30,-1.79,-2.96,-4.75,-0.01, G
463,Lindell Wigginton,MIL,19,10.50,-0.65,-4.10,-4.75,-0.04, G
464,Jevon Carter,MIL,66,13.70,-0.89,-3.86,-4.76,-0.24, PG
465,Thanasis Antetokounmpo,MIL,48,9.90,-1.71,-3.06,-4.76,-0.11, SF
466,Shake Milton,PHI,55,21.40,-0.95,-3.83,-4.78,-0.31, SG
467,Jahmi'us Ramsey,SAC,19,7.10,-0.65,-4.15,-4.80,-0.05, SG
468,Vlatko Cancar,DEN,15,11.70,-0.94,-3.88,-4.82,-0.05, SF
469,Udonis Haslem,MIA,13,6.40,-1.97,-2.85,-4.83,-0.02, PF
470,Markieff Morris,MIA,17,17.50,-0.45,-4.38,-4.83,-0.09, PF
